temp,humid,weather,wind,amenity_temp,amenity_humid,aircon,action,cloth,label
0.328,-1.136,-0.957,-0.769,1.315,0.281,1.222,-0.330,1.409,-0.651
-1.043,0.336,-0.957,-0.769,-0.840,0.281,1.222,3.964,-0.733,-0.282
-0.410,-1.136,0.622,-0.769,0.237,0.281,1.222,1.817,1.409,-0.703
-0.938,-0.351,0.622,1.240,-0.840,0.281,1.222,-0.330,-0.733,-0.282
-1.676,-0.253,0.622,1.240,-0.840,0.281,1.222,-0.330,1.409,-0.651
-0.516,0.434,0.622,-0.769,0.237,0.281,1.222,3.964,-0.733,-1.020
-0.797,0.139,0.622,1.240,-0.840,0.281,1.222,-0.330,-0.733,-0.703
0.469,-1.823,0.622,-0.769,1.315,-1.550,1.222,1.817,1.409,-0.282
-0.973,-0.057,0.622,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-0.282
-1.254,-0.351,0.622,-0.769,-0.840,-1.550,-0.083,-0.330,-0.733,-0.703
-0.586,-0.449,0.622,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.178
-0.621,0.336,0.622,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.178
-0.691,-0.057,0.622,1.240,0.237,0.281,1.222,-0.330,-0.733,-1.178
-0.410,-0.057,0.622,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.178
-0.691,-0.155,-0.957,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.178
-0.938,-0.351,0.622,-0.769,-0.840,-1.550,1.222,-0.330,-0.733,-0.651
0.926,-2.019,-0.957,-0.769,1.315,-1.550,1.222,1.817,1.409,0.351
-1.219,0.434,-0.957,1.240,-0.840,0.281,1.222,-0.330,-0.733,-0.703
-1.957,0.336,0.622,-0.769,-0.840,0.281,1.222,-0.330,1.409,-1.969
-1.113,-0.744,0.622,-0.769,0.237,-1.550,1.222,-0.330,-0.733,-1.969
-1.148,-0.155,0.622,-0.769,0.237,0.281,1.222,3.964,-0.733,-1.969
-1.289,-0.155,0.622,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-1.231
-2.766,-0.155,0.622,-0.769,-1.917,0.281,1.222,-0.330,1.409,-1.969
0.504,-2.117,0.622,-0.769,0.237,-1.550,1.222,1.817,1.409,0.246
-0.832,-0.547,0.622,-0.769,0.237,0.281,1.222,-0.330,-0.733,-1.442
-1.113,-0.351,0.622,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-1.231
-1.535,-0.155,-0.957,1.240,-0.840,0.281,1.222,-0.330,-0.733,-1.969
-1.606,-0.155,-0.957,1.240,-0.840,0.281,1.222,-0.330,-0.733,-1.969
-1.078,-0.449,0.622,-0.769,-0.840,0.281,1.222,-0.330,-0.733,-1.231
